age,claim_amount,vehicle_age,police_report_filed,witness_present,incident_severity,is_fraud,vehicle_price,driver_rating,policy_type,fault,accident_area,past_claims
48,71610.0,11,True,True,Major Damage,1,434994.1640714488,3,Third-Party,Third Party,Highway,3
42,5070.0,8,False,False,Minor Damage,1,867968.8848295867,4,Comprehensive,Third Party,Rural,2
29,34650.0,8,False,True,Minor Damage,0,560927.1092258898,3,Zero-Dep,Third Party,Urban,6
41,63400.0,1,False,True,Major Damage,1,868509.7134857136,4,Third-Party,Policy Holder,Highway,2
44,6500.0,6,False,True,Minor Damage,0,438352.2652730302,3,Comprehensive,Third Party,Urban,3
39,64100.0,12,False,True,Major Damage,1,440421.69889973564,4,Zero-Dep,Third Party,Urban,4
34,78650.0,3,False,False,Minor Damage,0,772974.5075913882,5,Comprehensive,Policy Holder,Highway,3
37,51590.0,0,True,True,Total Loss,0,1828851.444221563,3,Comprehensive,Third Party,Urban,3
33,27700.0,3,True,True,Total Loss,0,556573.4538261518,4,Comprehensive,Policy Holder,Urban,1
42,42300.0,19,False,True,Total Loss,0,208778.3733897921,4,Third-Party,Third Party,Urban,8
42,87010.0,13,False,True,Total Loss,0,309523.88216038386,4,Comprehensive,Policy Holder,Rural,3
61,114920.0,9,True,True,Major Damage,0,1010332.3168041967,2,Comprehensive,Third Party,Urban,2
23,56520.0,15,False,False,Total Loss,0,306782.5244727577,4,Comprehensive,Third Party,Rural,0
34,7280.0,5,False,True,Minor Damage,0,686765.251578834,5,Comprehensive,Third Party,Urban,1
38,46200.0,12,True,True,Total Loss,1,345740.0449416325,3,Comprehensive,Policy Holder,Urban,2
58,63120.0,16,False,False,Major Damage,1,229862.68349622434,4,Comprehensive,Third Party,Highway,1
26,52110.0,3,True,True,Major Damage,0,702363.3536001209,3,Comprehensive,Third Party,Urban,1
31,77880.0,0,True,True,Total Loss,0,664622.3338442745,2,Comprehensive,Third Party,Highway,0
37,72930.0,0,False,False,Total Loss,0,989243.2480968474,3,Third-Party,Third Party,Urban,2
39,60400.0,1,False,False,Major Damage,0,842540.3537529962,2,Comprehensive,Policy Holder,Highway,4
62,47160.0,4,False,False,Minor Damage,0,717896.0059090694,4,Third-Party,Third Party,Urban,4
41,37840.0,19,False,True,Total Loss,0,198517.0768063726,3,Comprehensive,Policy Holder,Highway,2
55,71520.0,15,True,False,Major Damage,1,353551.6157402685,3,Comprehensive,Third Party,Urban,2
55,98160.0,4,False,True,Total Loss,1,760826.1026158727,4,Comprehensive,Third Party,Highway,2
